marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,Avg_Bonus_Malus,Avg_Rejets_CO2,Avg_Cout_energie
volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,true,18641,-6000.0,13.33,149.33
volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,false,26630,-6000.0,13.33,149.33
volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,false,26630,-6000.0,13.33,149.33
volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,false,26630,-6000.0,13.33,149.33
volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,false,26630,-6000.0,13.33,149.33
volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,false,26630,-6000.0,13.33,149.33
volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,true,16029,-6000.0,13.33,149.33
volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,true,16029,-6000.0,13.33,149.33
volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,true,16029,-6000.0,13.33,149.33
volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,true,16029,-6000.0,13.33,149.33
volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,true,16029,-6000.0,13.33,149.33
volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,false,22900,-6000.0,13.33,149.33
volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,false,22900,-6000.0,13.33,149.33
volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900,-6000.0,13.33,149.33
volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900,-6000.0,13.33,149.33
volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,false,22900,-6000.0,13.33,149.33
skoda,Superb 2.8 V6,193,tr�s longue,5,5,rouge,false,31790,-6000.0,27.56,98.89
skoda,Superb 2.8 V6,193,tr�s longue,5,5,gris,false,31790,-6000.0,27.56,98.89
skoda,Superb 2.8 V6,193,tr�s longue,5,5,bleu,false,31790,-6000.0,27.56,98.89
skoda,Superb 2.8 V6,193,tr�s longue,5,5,noir,false,31790,-6000.0,27.56,98.89
skoda,Superb 2.8 V6,193,tr�s longue,5,5,blanc,false,31790,-6000.0,27.56,98.89
seat,Toledo 1.6,102,longue,5,5,blanc,false,18880,-3631.88,43.88,264.45
seat,Toledo 1.6,102,longue,5,5,noir,false,18880,-3631.88,43.88,264.45
seat,Toledo 1.6,102,longue,5,5,rouge,false,18880,-3631.88,43.88,264.45
seat,Toledo 1.6,102,longue,5,5,gris,false,18880,-3631.88,43.88,264.45
seat,Toledo 1.6,102,longue,5,5,bleu,false,18880,-3631.88,43.88,264.45
saab,9.3 1.8T,150,longue,5,5,blanc,true,27020,-3631.88,43.88,264.45
saab,9.3 1.8T,150,longue,5,5,rouge,true,27020,-3631.88,43.88,264.45
saab,9.3 1.8T,150,longue,5,5,gris,true,27020,-3631.88,43.88,264.45
saab,9.3 1.8T,150,longue,5,5,bleu,true,27020,-3631.88,43.88,264.45
saab,9.3 1.8T,150,longue,5,5,noir,true,27020,-3631.88,43.88,264.45
saab,9.3 1.8T,150,longue,5,5,gris,false,38600,-3631.88,43.88,264.45
saab,9.3 1.8T,150,longue,5,5,bleu,false,38600,-3631.88,43.88,264.45
saab,9.3 1.8T,150,longue,5,5,noir,false,38600,-3631.88,43.88,264.45
saab,9.3 1.8T,150,longue,5,5,rouge,false,38600,-3631.88,43.88,264.45
saab,9.3 1.8T,150,longue,5,5,blanc,false,38600,-3631.88,43.88,264.45
renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,gris,true,34440,-6000.0,0.0,206.0
renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,true,34440,-6000.0,0.0,206.0
renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,true,34440,-6000.0,0.0,206.0
renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,rouge,true,34440,-6000.0,0.0,206.0
renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,true,34440,-6000.0,0.0,206.0
renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,gris,false,49200,-6000.0,0.0,206.0
renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200,-6000.0,0.0,206.0
renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,false,49200,-6000.0,0.0,206.0
renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,false,49200,-6000.0,0.0,206.0
renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,rouge,false,49200,-6000.0,0.0,206.0
renault,Megane 2.0 16V,135,moyenne,5,5,gris,true,15644,-6000.0,0.0,206.0
renault,Megane 2.0 16V,135,moyenne,5,5,bleu,true,15644,-6000.0,0.0,206.0
renault,Megane 2.0 16V,135,moyenne,5,5,rouge,true,15644,-6000.0,0.0,206.0
renault,Megane 2.0 16V,135,moyenne,5,5,blanc,true,15644,-6000.0,0.0,206.0
renault,Megane 2.0 16V,135,moyenne,5,5,noir,true,15644,-6000.0,0.0,206.0
renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350,-6000.0,0.0,206.0
renault,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350,-6000.0,0.0,206.0
renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350,-6000.0,0.0,206.0
renault,Megane 2.0 16V,135,moyenne,5,5,noir,false,22350,-6000.0,0.0,206.0
renault,Megane 2.0 16V,135,moyenne,5,5,rouge,false,22350,-6000.0,0.0,206.0
renault,Laguna 2.0T,170,longue,5,5,rouge,true,19110,-6000.0,0.0,206.0
renault,Laguna 2.0T,170,longue,5,5,gris,true,19110,-6000.0,0.0,206.0
renault,Laguna 2.0T,170,longue,5,5,bleu,true,19110,-6000.0,0.0,206.0
renault,Laguna 2.0T,170,longue,5,5,blanc,true,19110,-6000.0,0.0,206.0
renault,Laguna 2.0T,170,longue,5,5,noir,true,19110,-6000.0,0.0,206.0
renault,Laguna 2.0T,170,longue,5,5,gris,false,27300,-6000.0,0.0,206.0
renault,Laguna 2.0T,170,longue,5,5,bleu,false,27300,-6000.0,0.0,206.0
renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300,-6000.0,0.0,206.0
renault,Laguna 2.0T,170,longue,5,5,noir,false,27300,-6000.0,0.0,206.0
renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300,-6000.0,0.0,206.0
renault,Espace 2.0T,165,longue,7,5,gris,true,21245,-6000.0,0.0,206.0
renault,Espace 2.0T,165,longue,7,5,bleu,true,21245,-6000.0,0.0,206.0
renault,Espace 2.0T,165,longue,7,5,noir,true,21245,-6000.0,0.0,206.0
renault,Espace 2.0T,165,longue,7,5,rouge,true,21245,-6000.0,0.0,206.0
renault,Espace 2.0T,165,longue,7,5,blanc,true,21245,-6000.0,0.0,206.0
renault,Espace 2.0T,165,longue,7,5,noir,false,30350,-6000.0,0.0,206.0
renault,Espace 2.0T,165,longue,7,5,bleu,false,30350,-6000.0,0.0,206.0
renault,Espace 2.0T,165,longue,7,5,rouge,false,30350,-6000.0,0.0,206.0
renault,Espace 2.0T,165,longue,7,5,blanc,false,30350,-6000.0,0.0,206.0
renault,Espace 2.0T,165,longue,7,5,gris,false,30350,-6000.0,0.0,206.0
peugeot,1007 1.4,75,courte,5,5,rouge,true,9625,-6000.0,15.83,144.17
peugeot,1007 1.4,75,courte,5,5,noir,false,13750,-6000.0,15.83,144.17
peugeot,1007 1.4,75,courte,5,5,gris,false,13750,-6000.0,15.83,144.17
peugeot,1007 1.4,75,courte,5,5,blanc,true,9625,-6000.0,15.83,144.17
peugeot,1007 1.4,75,courte,5,5,rouge,false,13750,-6000.0,15.83,144.17
peugeot,1007 1.4,75,courte,5,5,gris,true,9625,-6000.0,15.83,144.17
peugeot,1007 1.4,75,courte,5,5,blanc,false,13750,-6000.0,15.83,144.17
peugeot,1007 1.4,75,courte,5,5,bleu,true,9625,-6000.0,15.83,144.17
peugeot,1007 1.4,75,courte,5,5,noir,true,9625,-6000.0,15.83,144.17
peugeot,1007 1.4,75,courte,5,5,bleu,false,13750,-6000.0,15.83,144.17
nissan,Primera 1.6,109,longue,5,5,noir,false,18650,5802.4,160.0,681.2
nissan,Primera 1.6,109,longue,5,5,bleu,false,18650,5802.4,160.0,681.2
nissan,Primera 1.6,109,longue,5,5,rouge,false,18650,5802.4,160.0,681.2
nissan,Primera 1.6,109,longue,5,5,gris,false,18650,5802.4,160.0,681.2
nissan,Primera 1.6,109,longue,5,5,blanc,false,18650,5802.4,160.0,681.2
nissan,Maxima 3.0 V6,200,tr�s longue,5,5,noir,false,30000,5802.4,160.0,681.2
nissan,Maxima 3.0 V6,200,tr�s longue,5,5,gris,false,30000,5802.4,160.0,681.2
nissan,Maxima 3.0 V6,200,tr�s longue,5,5,bleu,false,30000,5802.4,160.0,681.2
nissan,Maxima 3.0 V6,200,tr�s longue,5,5,rouge,false,30000,5802.4,160.0,681.2
nissan,Maxima 3.0 V6,200,tr�s longue,5,5,blanc,false,30000,5802.4,160.0,681.2
nissan,Almera 1.8,115,moyenne,5,5,gris,false,16450,5802.4,160.0,681.2
nissan,Almera 1.8,115,moyenne,5,5,bleu,false,16450,5802.4,160.0,681.2
nissan,Almera 1.8,115,moyenne,5,5,noir,false,16450,5802.4,160.0,681.2
nissan,Almera 1.8,115,moyenne,5,5,rouge,false,16450,5802.4,160.0,681.2
nissan,Almera 1.8,115,moyenne,5,5,blanc,false,16450,5802.4,160.0,681.2
mini,Copper 1.6 16V,115,courte,5,5,gris,true,12740,-6000.0,21.5,126.0
mini,Copper 1.6 16V,115,courte,5,5,bleu,true,12740,-6000.0,21.5,126.0
mini,Copper 1.6 16V,115,courte,5,5,rouge,true,12740,-6000.0,21.5,126.0
mini,Copper 1.6 16V,115,courte,5,5,noir,true,12740,-6000.0,21.5,126.0
mini,Copper 1.6 16V,115,courte,5,5,blanc,true,12740,-6000.0,21.5,126.0
mini,Copper 1.6 16V,115,courte,5,5,gris,false,18200,-6000.0,21.5,126.0
mini,Copper 1.6 16V,115,courte,5,5,bleu,false,18200,-6000.0,21.5,126.0
mini,Copper 1.6 16V,115,courte,5,5,rouge,false,18200,-6000.0,21.5,126.0
mini,Copper 1.6 16V,115,courte,5,5,noir,false,18200,-6000.0,21.5,126.0
mini,Copper 1.6 16V,115,courte,5,5,blanc,false,18200,-6000.0,21.5,126.0
mercedes,S500,306,tr�s longue,5,5,noir,true,70910,8237.36,187.63,749.98
mercedes,S500,306,tr�s longue,5,5,bleu,true,70910,8237.36,187.63,749.98
mercedes,S500,306,tr�s longue,5,5,rouge,true,70910,8237.36,187.63,749.98
mercedes,S500,306,tr�s longue,5,5,blanc,true,70910,8237.36,187.63,749.98
mercedes,S500,306,tr�s longue,5,5,bleu,false,101300,8237.36,187.63,749.98
mercedes,S500,306,tr�s longue,5,5,gris,true,70910,8237.36,187.63,749.98
mercedes,S500,306,tr�s longue,5,5,noir,false,101300,8237.36,187.63,749.98
mercedes,S500,306,tr�s longue,5,5,blanc,false,101300,8237.36,187.63,749.98
mercedes,S500,306,tr�s longue,5,5,rouge,false,101300,8237.36,187.63,749.98
mercedes,S500,306,tr�s longue,5,5,gris,false,101300,8237.36,187.63,749.98
mercedes,A200,136,moyenne,5,5,blanc,false,25900,8237.36,187.63,749.98
mercedes,A200,136,moyenne,5,5,noir,false,25900,8237.36,187.63,749.98
mercedes,A200,136,moyenne,5,5,blanc,true,18130,8237.36,187.63,749.98
mercedes,A200,136,moyenne,5,5,rouge,true,18130,8237.36,187.63,749.98
mercedes,A200,136,moyenne,5,5,noir,true,18130,8237.36,187.63,749.98
mercedes,A200,136,moyenne,5,5,rouge,false,25900,8237.36,187.63,749.98
mercedes,A200,136,moyenne,5,5,bleu,true,18130,8237.36,187.63,749.98
mercedes,A200,136,moyenne,5,5,gris,true,18130,8237.36,187.63,749.98
mercedes,A200,136,moyenne,5,5,gris,false,25900,8237.36,187.63,749.98
mercedes,A200,136,moyenne,5,5,bleu,false,25900,8237.36,187.63,749.98
lancia,Ypsilon 1.4 16V,90,courte,5,3,rouge,false,13500,-3631.88,43.88,264.45
lancia,Ypsilon 1.4 16V,90,courte,5,3,bleu,true,9450,-3631.88,43.88,264.45
lancia,Ypsilon 1.4 16V,90,courte,5,3,gris,false,13500,-3631.88,43.88,264.45
lancia,Ypsilon 1.4 16V,90,courte,5,3,bleu,false,13500,-3631.88,43.88,264.45
lancia,Ypsilon 1.4 16V,90,courte,5,3,noir,false,13500,-3631.88,43.88,264.45
lancia,Ypsilon 1.4 16V,90,courte,5,3,rouge,true,9450,-3631.88,43.88,264.45
lancia,Ypsilon 1.4 16V,90,courte,5,3,gris,true,9450,-3631.88,43.88,264.45
lancia,Ypsilon 1.4 16V,90,courte,5,3,blanc,false,13500,-3631.88,43.88,264.45
lancia,Ypsilon 1.4 16V,90,courte,5,3,blanc,true,9450,-3631.88,43.88,264.45
lancia,Ypsilon 1.4 16V,90,courte,5,3,noir,true,9450,-3631.88,43.88,264.45
kia,Picanto 1.1,65,courte,5,5,blanc,false,8990,-6000.0,10.33,157.67
kia,Picanto 1.1,65,courte,5,5,gris,false,8990,-6000.0,10.33,157.67
kia,Picanto 1.1,65,courte,5,5,noir,false,8990,-6000.0,10.33,157.67
kia,Picanto 1.1,65,courte,5,5,rouge,false,8990,-6000.0,10.33,157.67
kia,Picanto 1.1,65,courte,5,5,bleu,false,8990,-6000.0,10.33,157.67
jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100,-6000.0,0.0,271.0
jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970,-6000.0,0.0,271.0
jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970,-6000.0,0.0,271.0
jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100,-6000.0,0.0,271.0
jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970,-6000.0,0.0,271.0
jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970,-6000.0,0.0,271.0
jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970,-6000.0,0.0,271.0
jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100,-6000.0,0.0,271.0
jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100,-6000.0,0.0,271.0
jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100,-6000.0,0.0,271.0
hyunda�,Matrix 1.6,103,longue,7,5,bleu,false,15960,-3631.88,43.88,264.45
hyunda�,Matrix 1.6,103,longue,7,5,blanc,false,15960,-3631.88,43.88,264.45
hyunda�,Matrix 1.6,103,longue,7,5,gris,false,15960,-3631.88,43.88,264.45
hyunda�,Matrix 1.6,103,longue,7,5,noir,false,15960,-3631.88,43.88,264.45
hyunda�,Matrix 1.6,103,longue,7,5,rouge,false,15960,-3631.88,43.88,264.45
honda,FR-V 1.7,125,longue,7,5,noir,false,19550,-3631.88,43.88,264.45
honda,FR-V 1.7,125,longue,7,5,bleu,false,19550,-3631.88,43.88,264.45
honda,FR-V 1.7,125,longue,7,5,gris,false,19550,-3631.88,43.88,264.45
honda,FR-V 1.7,125,longue,7,5,blanc,false,19550,-3631.88,43.88,264.45
honda,FR-V 1.7,125,longue,7,5,rouge,false,19550,-3631.88,43.88,264.45
ford,Mondeo 1.8,125,longue,5,5,blanc,true,16730,-3631.88,43.88,264.45
ford,Mondeo 1.8,125,longue,5,5,gris,true,16730,-3631.88,43.88,264.45
ford,Mondeo 1.8,125,longue,5,5,bleu,true,16730,-3631.88,43.88,264.45
ford,Mondeo 1.8,125,longue,5,5,noir,true,16730,-3631.88,43.88,264.45
ford,Mondeo 1.8,125,longue,5,5,rouge,true,16730,-3631.88,43.88,264.45
ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900,-3631.88,43.88,264.45
ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900,-3631.88,43.88,264.45
ford,Mondeo 1.8,125,longue,5,5,noir,false,23900,-3631.88,43.88,264.45
ford,Mondeo 1.8,125,longue,5,5,gris,false,23900,-3631.88,43.88,264.45
ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900,-3631.88,43.88,264.45
fiat,Croma 2.2,147,longue,5,5,blanc,true,17346,-3631.88,43.88,264.45
fiat,Croma 2.2,147,longue,5,5,bleu,true,17346,-3631.88,43.88,264.45
fiat,Croma 2.2,147,longue,5,5,rouge,true,17346,-3631.88,43.88,264.45
fiat,Croma 2.2,147,longue,5,5,gris,true,17346,-3631.88,43.88,264.45
fiat,Croma 2.2,147,longue,5,5,rouge,false,24780,-3631.88,43.88,264.45
fiat,Croma 2.2,147,longue,5,5,bleu,false,24780,-3631.88,43.88,264.45
fiat,Croma 2.2,147,longue,5,5,noir,true,17346,-3631.88,43.88,264.45
fiat,Croma 2.2,147,longue,5,5,blanc,false,24780,-3631.88,43.88,264.45
fiat,Croma 2.2,147,longue,5,5,noir,false,24780,-3631.88,43.88,264.45
fiat,Croma 2.2,147,longue,5,5,gris,false,24780,-3631.88,43.88,264.45
daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850,-3631.88,43.88,264.45
daihatsu,Cuore 1.0,58,courte,5,3,blanc,false,8850,-3631.88,43.88,264.45
daihatsu,Cuore 1.0,58,courte,5,3,rouge,false,8850,-3631.88,43.88,264.45
daihatsu,Cuore 1.0,58,courte,5,3,bleu,false,8850,-3631.88,43.88,264.45
daihatsu,Cuore 1.0,58,courte,5,3,gris,false,8850,-3631.88,43.88,264.45
dacia,Logan 1.6 MPI,90,moyenne,5,5,blanc,false,7500,-3631.88,43.88,264.45
dacia,Logan 1.6 MPI,90,moyenne,5,5,rouge,false,7500,-3631.88,43.88,264.45
dacia,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500,-3631.88,43.88,264.45
dacia,Logan 1.6 MPI,90,moyenne,5,5,gris,false,7500,-3631.88,43.88,264.45
dacia,Logan 1.6 MPI,90,moyenne,5,5,bleu,false,7500,-3631.88,43.88,264.45
bmw,M5,507,tr�s longue,5,5,bleu,true,66360,-6000.0,39.26,80.53
bmw,M5,507,tr�s longue,5,5,gris,false,94800,-6000.0,39.26,80.53
bmw,M5,507,tr�s longue,5,5,blanc,false,94800,-6000.0,39.26,80.53
bmw,M5,507,tr�s longue,5,5,noir,false,94800,-6000.0,39.26,80.53
bmw,M5,507,tr�s longue,5,5,rouge,true,66360,-6000.0,39.26,80.53
bmw,M5,507,tr�s longue,5,5,blanc,true,66360,-6000.0,39.26,80.53
bmw,M5,507,tr�s longue,5,5,bleu,false,94800,-6000.0,39.26,80.53
bmw,M5,507,tr�s longue,5,5,gris,true,66360,-6000.0,39.26,80.53
bmw,M5,507,tr�s longue,5,5,rouge,false,94800,-6000.0,39.26,80.53
bmw,M5,507,tr�s longue,5,5,noir,true,66360,-6000.0,39.26,80.53
bmw,120i,150,moyenne,5,5,rouge,true,25060,-6000.0,39.26,80.53
bmw,120i,150,moyenne,5,5,bleu,false,35800,-6000.0,39.26,80.53
bmw,120i,150,moyenne,5,5,blanc,false,35800,-6000.0,39.26,80.53
bmw,120i,150,moyenne,5,5,gris,false,35800,-6000.0,39.26,80.53
bmw,120i,150,moyenne,5,5,rouge,false,35800,-6000.0,39.26,80.53
bmw,120i,150,moyenne,5,5,bleu,true,25060,-6000.0,39.26,80.53
bmw,120i,150,moyenne,5,5,gris,true,25060,-6000.0,39.26,80.53
bmw,120i,150,moyenne,5,5,noir,true,25060,-6000.0,39.26,80.53
bmw,120i,150,moyenne,5,5,blanc,true,25060,-6000.0,39.26,80.53
bmw,120i,150,moyenne,5,5,noir,false,35800,-6000.0,39.26,80.53
audi,A3 2.0 FSI,150,moyenne,5,5,noir,true,19950,-6000.0,26.1,191.6
audi,A3 2.0 FSI,150,moyenne,5,5,noir,false,28500,-6000.0,26.1,191.6
audi,A3 2.0 FSI,150,moyenne,5,5,rouge,false,28500,-6000.0,26.1,191.6
audi,A3 2.0 FSI,150,moyenne,5,5,gris,true,19950,-6000.0,26.1,191.6
audi,A3 2.0 FSI,150,moyenne,5,5,blanc,false,28500,-6000.0,26.1,191.6
audi,A3 2.0 FSI,150,moyenne,5,5,blanc,true,19950,-6000.0,26.1,191.6
audi,A3 2.0 FSI,150,moyenne,5,5,bleu,true,19950,-6000.0,26.1,191.6
audi,A3 2.0 FSI,150,moyenne,5,5,bleu,false,28500,-6000.0,26.1,191.6
audi,A3 2.0 FSI,150,moyenne,5,5,gris,false,28500,-6000.0,26.1,191.6
audi,A3 2.0 FSI,150,moyenne,5,5,rouge,true,19950,-6000.0,26.1,191.6
audi,A2 1.4,75,courte,5,5,noir,true,12817,-6000.0,26.1,191.6
audi,A2 1.4,75,courte,5,5,bleu,false,18310,-6000.0,26.1,191.6
audi,A2 1.4,75,courte,5,5,gris,false,18310,-6000.0,26.1,191.6
audi,A2 1.4,75,courte,5,5,bleu,true,12817,-6000.0,26.1,191.6
audi,A2 1.4,75,courte,5,5,gris,true,12817,-6000.0,26.1,191.6
audi,A2 1.4,75,courte,5,5,noir,false,18310,-6000.0,26.1,191.6
audi,A2 1.4,75,courte,5,5,rouge,false,18310,-6000.0,26.1,191.6
audi,A2 1.4,75,courte,5,5,blanc,true,12817,-6000.0,26.1,191.6
audi,A2 1.4,75,courte,5,5,rouge,true,12817,-6000.0,26.1,191.6
audi,A2 1.4,75,courte,5,5,blanc,false,18310,-6000.0,26.1,191.6
